name,number,element,aethyr,translation,personality_traits,domains,essence,themes,verse,boon,tarot,sephirah,zodiac_angel,historical_context,source_references,visual_color_palette,visual_emblem,visual_aura,personality_trait_count,domain_count,essence_length,themes_length,verse_length,boon_length,historical_context_length
LABNIXP,11,Water,ZOM,He who was made a leader,"authoritative, ethical, rhetorically sharp","civic oratory, theurgical ethics",Embodies **servant‑leadership**—authority tempered by bearing the weight of communal meaning.,"Virtues: rhetorical integrity, ethical courage.
Vices: demagoguery, moral evasion.",“The crown is but the weight of every word spoken beneath it.”,Seal elevates governance power yet amplifies chaos curses by 20 %.,,,,#### **11 · LABNIXP** — *“He who was made a leader”*,Primary sources pending compilation.,water,well proportioned,"authoritative, ethical",3,2,93,82,62,66,52
CALVIZA,12,Air,LOE,Son of the three‑fold throne,"lucid, inquisitive, tri‑perspectival","optics, ophidian herb‑work","Bearer of **triple‑sight**—past, present, future refracted in a single ray.","Virtues: holistic perception, fearless inquiry.
Vices: tunnel‑vision, analytic arrogance.",“In one gleam lives the memory of three suns.”,Eye grants secret‑text vision but blinds map markers for 50 blocks.,,,,#### **12 · CALVIZA** — *“Son of the three‑fold throne”*,Primary sources pending compilation.,air,"big, strong","lucid, inquisitive",3,2,75,89,46,67,56
AVTOTAR,13,Air,LOE,He who protects that which is,"vigilant, precise, conservator","metaphysical safeguards, apotropaics",Guardian of **ontological boundaries**—keeper of reality’s syntax.,"Virtues: definitional clarity, vigilant guardianship.
Vices: semantic rigidity, over‑protection.","“Name the edge of being, or the abyss will.”",Wardstone blocks a chaos event but deletes 1 random low‑tier artifact on use.,,,,#### **13 · AVTOTAR** — *“He who protects that which is”*,Primary sources pending compilation.,air,"spiritual, winged","vigilant, precise",3,2,66,96,44,77,57
ICHIZA,14,Air,LOE,He who proceeds with wisdom,"contemplative, practical, sonorous","psycho‑acoustics, liminal dreaming",Pulse of **progressive discernment**—wisdom unfolding like a measured hymn.,"Virtues: methodical learning, psychoacoustic harmony.
Vices: info‑glut paralysis, suppressed intuition.","“In the hush of the mind, ladders of light unfold.”",Seal aids dream realms but doubles token cost for material‑world crafting.,,,,#### **14 · ICHIZA** — *“He who proceeds with wisdom”*,Primary sources pending compilation.,air,"white, delicate","contemplative, practical",3,2,75,103,51,74,54
TIARPAX,15,Water,LIT,He whose name means truth,"reflective, geometrical, sincere","sacred geometry, cosmography",Mirror of **cosmic verity**—where macrocosm and microcosm recognise themselves.,"Virtues: introspective honesty, geometric elegance.
Vices: self‑deception, chaotic pattern‑making.",“Gaze upon the tide; there the constellations confess their author.”,Mirror unmasks falsehoods but reflects player’s own failures into public ledger.,,,,#### **15 · TIARPAX** — *“He whose name means truth”*,Primary sources pending compilation.,water,"dark, grey","reflective, geometrical",3,2,79,98,68,80,53
SAXTOMP,16,Fire,MAZ,She whose name means understanding,"devotional, patient, sapient","astro‑herbalism, metaphysics",SAXTOMP is the *Flame of Comprehension*—a hearth‑wisdom that burns away illusion until only the bone‑truth of the cosmos remains.,"Virtues: disciplined enquiry, contemplative ardour, cosmic humility.
Vices: dogmatic zeal, scorched‑earth rhetoric.",“Mind is tinder; stars are flint.”,Grants insight balanced by responsibility.,,,,#### **16 · SAXTOMP** — *“She whose name means understanding”*,Primary sources pending compilation.,fire,"fierce, active","devotional, patient",3,2,129,115,34,42,62
VAUAAMP,17,Fire,MAZ,He who initiates action,"initiative‑driven, balanced, constructive","geomantic design, solar distillation",VAUAAMP is the *Spark‑Architect*—first mover who sketches sacred angles in living fire.,"Virtues: calibrated courage, alchemical balance.
Vices: rash impulse, half‑formed blueprints.",“The first stroke decides the cathedral.”,Grants insight balanced by responsibility.,,,,#### **17 · VAUAAMP** — *“He who initiates action”*,Primary sources pending compilation.,fire,dark,"initiative driven, balanced",3,2,87,93,41,42,51
ZIRZIRD,18,Fire,MAZ,He who was and will be,"cyclical, visionary, persevering","cosmic cycles, astronomical coding",ZIRZIRD embodies the *Revolving Ledger*—a cosmic accountant tallying epochs in star‑wheels.,"Virtues: long‑range vision, patient iteration.
Vices: perfection paralysis, nostalgia loops.",“A future once lived returns wearing fresh dawn.”,Grants insight balanced by responsibility.,,,,#### **18 · ZIRZIRD** — *“He who was and will be”*,Primary sources pending compilation.,fire,"expressive, thin","cyclical, visionary",3,2,91,92,49,42,50
OPMACAS,19,Fire,DEO,He who is from the beginning,"protogenic, daring, eloquent","first‑principle magic, eidetic dreaming",First‑fire of genesis—OPMACAS breathes form into formless dream.,"Virtues: visionary daring, proto‑creativity.
Vices: hubris of “originality,” dismissal of lineage.",“Origin sleeps in every ember; rouse it wisely.”,Grants insight balanced by responsibility.,,,,#### **19 · OPMACAS** — *“He who is from the beginning”*,Primary sources pending compilation.,fire,mechanical,"protogenic, daring",3,2,64,98,48,42,56
GENADOL,20,Fire,DEO,He who only attracts,"magnetic, charismatic, tactical","ritual attraction, aero‑divination",GENADOL is magnetic command—the charisma that bends fate’s iron filings.,"Virtues: tactical grace, noble persuasion.
Vices: manipulation, vanity of followers.",“Desire is the wind that obeys the confident helm.”,Grants insight balanced by responsibility.,,,,#### **20 · GENADOL** — *“He who only attracts”*,Primary sources pending compilation.,fire,changeful beauty,"magnetic, charismatic",3,2,72,84,51,42,48
ASPIAON,21,Fire,DEO,She who precedes inner truth,"immutable, stoic, strategic‑seer","ceremonial law, dragon‑fire geomancy",ASPIAON is the herald of rightful order—testing motives before the tribunal of fire.,"Virtues: incorruptible judgment, rhythmic discipline.
Vices: punitive excess, inflexible edict.",“The flame weighs both gold and straw.”,Grants insight balanced by responsibility.,,,,#### **21 · ASPIAON** — *“She who precedes inner truth”*,Primary sources pending compilation.,fire,"spiritual, winged","immutable, stoic",3,2,84,95,39,42,56
ZAMFRES,22,Fire,ZID,He who appears when praised,"celebratory, aspiring, inspirational","dream artistry, creative alchemy",Patron of inspired acclaim—ZAMFRES materialises where genuine gratitude is spoken.,"Virtues: appreciative wonder, co‑creation.
Vices: fawning flattery, empty applause.","“Where the heart sings true, the angel steps through.”",Grants insight balanced by responsibility.,,,,#### **22 · ZAMFRES** — *“He who appears when praised”*,Primary sources pending compilation.,fire,"expressive, thin","celebratory, aspiring",3,2,82,83,54,42,55
TODNAON,23,Fire,ZID,He who is and will be,"prophetic, surveying, liminal","lenscraft, earth‑water synthesis",TODNAON governs the *Reflected Future*—seeing destiny in shifting surfaces.,"Virtues: adaptable foresight, terrain attunement.
Vices: mirage‑chasing, fatalism.",“The water remembers steps not yet taken.”,Grants insight balanced by responsibility.,,,,#### **23 · TODNAON** — *“He who is and will be”*,Primary sources pending compilation.,fire,"dark, grey","prophetic, surveying",3,2,75,82,42,42,49
PRISTAC,24,Fire,ZID,He who has the likeness of a holy one,"steadfast, devotional, resonant","hieratic linguistics, toning therapy",PRISTAC mirrors celestial archetype—inviting mortals to echo higher harmony.,"Virtues: integrity of tone, sacred imitation.
Vices: hollow performance, icon‑idolatry.",“The image you reflect becomes your judge.”,Grants insight balanced by responsibility.,,,,#### **24 · PRISTAC** — *“He who has the likeness of a holy one”*,Primary sources pending compilation.,fire,resolute,"steadfast, devotional",3,2,76,87,43,42,65
ODDIORG,25,Fire,ZIP,He of fire and justice,"judicial, impassioned, crusading","esoteric maths, martial psyche",ODDIORG adjudicates the psyche—tempering will in crucibles of number.,"Virtues: courageous introspection, balanced logic.
Vices: self‑righteousness, punitive arithmancy.",“Justice ignites where the mind meets the mirror.”,Grants insight balanced by responsibility.,,,,#### **25 · ODDIORG** — *“He of fire and justice”*,Primary sources pending compilation.,fire,mechanical,"judicial, impassioned",3,2,69,98,50,42,50
CRALPIR,26,Fire,ZIP,He of bright joy,"fervent, purifying, incendiary","metallurgic transmutation, pyromancy",CRALPIR radiates triumphant solace—sunrise after battlefield night.,"Virtues: jubilant resilience, tactical mercy.
Vices: reckless optimism, blinding cheer.",“The brightest hymn leaves shadow for the weary to rest.”,Grants insight balanced by responsibility.,,,,#### **26 · CRALPIR** — *“He of bright joy”*,Primary sources pending compilation.,fire,"big, strong","fervent, purifying",3,2,67,87,57,42,44
DOANZIN,27,Fire,ZIP,He who names the waters,"catalytic, fervent, ardent","solar rites, pyromancy",Master of reflective nomenclature—DOANZIN grants authority over the hidden shapes of tides.,"Virtues: precise designation, aquatic clarity.
Vices: rigid taxonomy, tidal wrath.",“The river answers only to its true name.”,Grants insight balanced by responsibility.,,,,#### **27 · DOANZIN** — *“He who names the waters”*,Primary sources pending compilation.,fire,"beautiful, full","catalytic, fervent",3,2,91,82,42,42,51
LEXARPH,28,Spirit,ZAX,He who is first of the air,"integrative, luminous, visionary","soul weaving, sigil calculus","LEXARPH rides the liminal breeze between worlds, scripting fate upon invisible vellum.","Virtues: poised adaptability, silent mastery.
Vices: aloof counsel, over‑abstraction.",“The unseen path bears the surest step.”,Grants insight balanced by responsibility.,,,,#### **28 · LEXARPH** — *“He who is first of the air”*,Primary sources pending compilation.,spirit,well proportioned,"integrative, luminous",3,2,86,85,40,42,54
COMANAN,29,Spirit,ZAX,He who knows how to manifest,"priestly, ritualistic, genealogical","spirit genealogy, covenant smithing",COMANAN teaches seed‑alchemy—drawing spirit into leaf and legend.,"Virtues: nurturing patience, mythic imagination.
Vices: stagnation, story‑addiction.",“A story planted bears unimagined fruit.”,Grants insight balanced by responsibility.,,,,#### **29 · COMANAN** — *“He who knows how to manifest”*,Primary sources pending compilation.,spirit,"big, strong","priestly, ritualistic",3,2,65,84,41,42,56
TABITOM,30,Spirit,ZAX,He who is like fire,"spirited, messenger‑like, clarifying","pneuma study, ether navigation","TABITOM is the *Solar Paradox*—spirit‑fire that neither burns nor dims, but transmutes.","Virtues: cyclical renewal, luminous courage.
Vices: consuming fervour, blinding certainty.","“Rise thrice‑lit, and the world pursues your shadow.”",Grants insight balanced by responsibility.,,,,#### **30 · TABITOM** — *“He who is like fire”*,Primary sources pending compilation.,spirit,"dark, grey","spirited, messenger like",3,2,87,90,53,42,47
MOLPAND,31,Water,ICH,He who receives men,"tidal, fluid, adaptive","hydromancy, dream navigation",MOLPAND is the *Port of Souls*—tranquil harbour where journeymen spirits first taste incarnation.,"Welcoming, transmutation, gentle guidance; shadowed by noblesse‑oblige condescension.","“Raise the cup, know the sea within.”",Grants insight balanced by responsibility.,,,,#### **31 · MOLPAND** — *“He who receives men”*,Primary sources pending compilation.,water,"reflective, dreamy","tidal, fluid",3,2,97,85,37,42,47
VSNARDA,32,Water,ICH,He who casts down into the depths,"reflective, adaptive, tidal","hydromancy, aqua healing",Keeper of abyss‑initiations—VSNARDA drags arrogance beneath black tides until humility breathes anew.,"Descent, cyclical fate, whispered lore; peril of endless sinking.",“Dive past words; recover truth scaled and glistening.”,Grants insight balanced by responsibility.,,,,#### **32 · VSNARDA** — *“He who casts down into the depths”*,Primary sources pending compilation.,water,dark,"reflective, adaptive",3,2,101,65,55,42,61
PONODOL,33,Fire,ICH,He who destroys and creates,"ardent, catalytic, fervent","solar rites, inner furnace yoga",PONODOL is the *Forge‑Cataclysm*—breaker of obsolete forms and midwife of new laws.,"Surgical destruction, tactical rebirth; hazard of collateral pyres.",“Rubble remembers the shape of tomorrow.”,Grants insight balanced by responsibility.,,,,#### **33 · PONODOL** — *“He who destroys and creates”*,Primary sources pending compilation.,fire,resolute,"ardent, catalytic",3,2,83,67,41,42,55
TAPAMAL,34,Fire,LOE,She as at the beginning,"catalytic, transformative, ardent","pyromancy, metallurgic transmutation",First‑note of cosmic hymn—TAPAMAL re‑strikes the fundamental tone that births worlds.,"Reset, harmony, stellar melody; danger of dissonant echoes.","“Before words were, there was pitch.”",Grants insight balanced by responsibility.,,,,#### **34 · TAPAMAL** — *“She as at the beginning”*,Primary sources pending compilation.,fire,"dark, grey","catalytic, transformative",3,2,85,59,37,42,51
GEDOONS,35,Fire,LOE,He who eliminates your name,"catalytic, incendiary, transformative","inner furnace yoga, solar rites",GEDOONS wields erasure—striking identities from celestial rolls to grant tactical invisibility.,"Silence, anonymity, star‑fate severance; risk of self‑obliteration.","“In absence, the hunter passes unseen.”",Grants insight balanced by responsibility.,,,,#### **35 · GEDOONS** — *“He who eliminates your name”*,Primary sources pending compilation.,fire,changeful beauty,"catalytic, incendiary",3,2,95,67,39,42,55
NOCAMAL,36,Fire,LOE,He who continuously comforts,"purifying, ardent, incendiary","metallurgic transmutation, inner furnace yoga","Guardian‑lullaby—NOCAMAL stills stormed hearts, weaving ember‑dreams of solace.","Restoration, restorative equity; threat of complacent sleep.",“Embers cradle the weary lion.”,Grants insight balanced by responsibility.,,,,#### **36 · NOCAMAL** — *“He who continuously comforts”*,Primary sources pending compilation.,fire,"dark, square faced","purifying, ardent",3,2,79,60,31,42,56
ISEMTAR,37,Fire,VTA,He who begins the changes,"fervent, catalytic, ardent","metallurgic transmutation, pyromancy",ISEMTAR sparks metamorphosis—codifying chaos into rite and flight.,"Initiation, law‑alchemy, vigilant adaptation; hazard of unfinished transits.",“Change obeys the patient map.”,Grants insight balanced by responsibility.,,,,#### **37 · ISEMTAR** — *“He who begins the changes”*,Primary sources pending compilation.,fire,"white, delicate","fervent, catalytic",3,2,66,76,31,42,53
MASTIPT,38,Fire,VTA,He protector of man,"valorous, vigilant, paternal","geomantic bastions, optics of warning",Solar bulwark—MASTIPT stands where holy ground meets roaring front.,"Guardianship, radiant vigilance; risk of martyr’s blind zeal.","“Flame mirrors flame, and none pass.”",Grants insight balanced by responsibility.,,,,#### **38 · MASTIPT** — *“He protector of man”*,Primary sources pending compilation.,fire,"reflective, dreamy","valorous, vigilant",3,2,67,61,37,42,47
CAMAXOX,39,Fire,VTA,He who names only great names,"heraldic, visionary, ceremonious","star naming, dream inscribing",Registrar of legendary appellations—CAMAXOX crowns deeds with ringing titles.,"Reputation, destiny inscription; danger of vainglory inflation.","“The louder the trumpet, the clearer its target.”",Grants insight balanced by responsibility.,,,,#### **39 · CAMAXOX** — *“He who names only great names”*,Primary sources pending compilation.,fire,"big, strong","heraldic, visionary",3,2,77,63,49,42,57
EXGSDIA,40,Fire,VTA,He who demands obedience,"uncompromising, logical, disciplinarian","binding code, angelic calculus",Law‑incarnate—EXGSDIA binds unruly currents to stern vectors.,"Authority, sharp clarity; tyranny of rigid code.",“Duty carves the shortest path.”,Grants insight balanced by responsibility.,,,,#### **40 · EXGSDIA** — *“He who demands obedience”*,Primary sources pending compilation.,fire,"fiery, fierce","uncompromising, logical",3,2,61,48,32,42,52
SAPDION,41,Fire,VTA,She of many repetitions,"ardent, fervent, transformative","pyromancy, inner furnace yoga",SAPDION governs recurrence—echo cycles forging perfection through iteration.,"Perseverance, fractal mastery; peril of endless loops.",“Perfection is patient redundancy.”,Grants insight balanced by responsibility.,,,,#### **41 · SAPDION** — *“She of many repetitions”*,Primary sources pending compilation.,fire,"fierce, active","ardent, fervent",3,2,76,54,35,42,51
ALPUDUS,42,Fire,VTA,He to whom truth is relative,"relativist, exploratory, sage‑listener","frequency healing, root‑alchemy",ALPUDUS weighs context—truth refracted by vantage and season.,"Relativity, mercurial insight; chaos of shifting morals.",“Two mirrors contest; light survives.”,Grants insight balanced by responsibility.,,,,#### **42 · ALPUDUS** — *“He to whom truth is relative”*,Primary sources pending compilation.,fire,"spiritual, winged","relativist, exploratory",3,2,61,56,38,42,56
TAHAMDO,43,Air,OXO,He who lives by his name,"inventive, musical, ecological","harmonic syntax, biosphere energy","TAHAMDO embodies self‑coherence—utterance, act, and essence in lock‑step rhythm.","Authenticity, tonal ecology; peril of inflexible identity.","“Speak thyself, or others will.”",Grants insight balanced by responsibility.,,,,#### **43 · TAHAMDO** — *“He who lives by his name”*,Primary sources pending compilation.,air,"dark, grey","inventive, musical",3,2,80,58,32,42,52
NOTIABI,44,Air,OXO,Servant who speaks truth,"analytical, thoughtful, inventive","breath alchemy, aeromancy",NOTIABI is herald‑blade—truth delivered swift as thunderclap.,"Courageous candour, piercing revelation; hazard of ruthless bluntness.","“Voice like steel: it rings, it wounds.”",Grants insight balanced by responsibility.,,,,#### **44 · NOTIABI** — *“Servant who speaks truth”*,Primary sources pending compilation.,air,"dark, square faced","analytical, thoughtful",3,2,61,70,40,42,52
TASTOZO,45,Air,OXO,She who initiates dancing,"nimble, inventive, lofty","aeromancy, acoustic geometry",Mistress of cosmic choreography—TASTOZO sets planets waltzing in sacred ratios.,"Motion, joyous recursion, linguistic rhythm; danger of frenzied whirl.",“The universe twirls on silent feet.”,Grants insight balanced by responsibility.,,,,#### **45 · TASTOZO** — *“She who initiates dancing”*,Primary sources pending compilation.,air,"dark, grey","nimble, inventive",3,2,79,70,37,42,53
CALZICH,46,Fire,LEA,She who replaces what was with something similar,"incendiary, ardent, catalytic","pyromancy, solar rites",CALZICH is the *Echo‑Forge*—turning endings into kindred beginnings with algebras of light.,"Transposition, benign mimicry, phoenix economics; danger of recursive stagnation.","“The fire returns what it removes, though never quite the same.”",Grants insight balanced by responsibility.,,,,#### **46 · CALZICH** — *“She who replaces what was with something similar”*,Primary sources pending compilation.,fire,"big, strong","incendiary, ardent",3,2,91,81,64,42,76
ALDAPI,47,Fire,Unknown,Unnamed Governor,"transformative, incendiary, catalytic","metallurgic transmutation, solar rites","ALDAPI channels the archetypal potency of fire toward mastery of metallurgic transmutation, solar rites.","Transformation, mastery, balance.","ALDAPI whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with fire, balanced by a commensurate sacrifice.",,,,#### **47 · ALDAPI** — *“He who governs restoration”*,Primary sources pending compilation.,fire,"spiritual, winged","transformative, incendiary",3,2,104,33,72,68,53
ANELOB,48,Fire,Unknown,Unnamed Governor,"purifying, incendiary, ardent","pyromancy, inner furnace yoga","ANELOB channels the archetypal potency of fire toward mastery of pyromancy, inner furnace yoga.","Transformation, mastery, balance.","ANELOB whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with fire, balanced by a commensurate sacrifice.",,,,#### **48 · ANELOB** — *“He whose measure guides”*,Primary sources pending compilation.,fire,"spiritual, winged","purifying, incendiary",3,2,95,33,72,68,50
ARSPHOR,49,Fire,Unknown,Unnamed Governor,"transformative, fervent, incendiary","pyromancy, metallurgic transmutation","ARSPHOR channels the archetypal potency of fire toward mastery of pyromancy, metallurgic transmutation.","Transformation, mastery, balance.","ARSPHOR whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with fire, balanced by a commensurate sacrifice.",,,,#### **49 · ARSPHOR** — *“He who heals through equivalence”*,Primary sources pending compilation.,fire,"spiritual, winged","transformative, fervent",3,2,103,33,73,68,60
AYDROPT,50,Air,Unknown,Unnamed Governor,"inventive, lofty, nimble","breath alchemy, aeromancy","AYDROPT channels the archetypal potency of air toward mastery of breath alchemy, aeromancy.","Transformation, mastery, balance.","AYDROPT whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with air, balanced by a commensurate sacrifice.",,,,#### **50 · AYDROPT** — *“She who sees us with equality”*,Primary sources pending compilation.,air,"spiritual, winged","inventive, lofty",3,2,91,33,73,67,57
TOCARZI,51,Unknown,Unknown,Unnamed Governor,"egalitarian, precise, temperate","divinatory balance, optical magic","TOCARZI channels the archetypal potency of air toward mastery of divinatory balance, optical magic.","Transformation, mastery, balance.","TOCARZI whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with air, balanced by a commensurate sacrifice.",,,,#### **51 · TOCARZI** — *“He of such equality”*,Primary sources pending compilation.,air,"dark, grey","egalitarian, precise",3,2,99,33,73,67,47
NABAOMI,52,Air,ZEN,He who knows pain,"empathetic, introspective, resilient","sorrow alchemy, wind-borne lamentation","NABAOMI is the Wailing Current—the gentle cyclone that scours trauma from the hidden chambers of the heart, then anneals grief into luminous resolve.","Virtues: compassionate witness, cathartic daring, honest vulnerability. Vices: morbid fixation, self-flagellation, pity that binds instead of frees.",In the hush between sobs the true breath returns.,Bearer of the Censer of NABAOMI gains +20% resistance to Morbid debuffs for 7 blocks but suffers -10% charisma while the censer remains lit.,The Tower,Geburah,Kamael,References to be researched.,Primary sources pending compilation.,,,,3,2,149,148,49,140,28
SANIZAR,53,Air,Unknown,Unnamed Governor,"whispering, nimble, thoughtful","breath alchemy, aeromancy","SANIZAR channels the archetypal potency of air toward mastery of breath alchemy, aeromancy.","Transformation, mastery, balance.","SANIZAR whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with air, balanced by a commensurate sacrifice.",,,,#### **53 · SANIZAR** — *“He who defends the path”*,Primary sources pending compilation.,air,"fierce, active","whispering, nimble",3,2,91,33,73,67,51
CHIALPS,54,Air,Unknown,Unnamed Governor,"thoughtful, inventive, lofty","sky cartography, breath alchemy","CHIALPS channels the archetypal potency of air toward mastery of sky cartography, breath alchemy.","Transformation, mastery, balance.","CHIALPS whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with air, balanced by a commensurate sacrifice.",,,,#### **54 · CHIALPS** — *“He who speaks the serpent’s number”*,Primary sources pending compilation.,air,"big, strong","thoughtful, inventive",3,2,97,33,73,67,62
ZIRACAH,55,Air,Unknown,Unnamed Governor,"analytical, whispering, lofty","acoustic geometry, sky cartography","ZIRACAH channels the archetypal potency of air toward mastery of acoustic geometry, sky cartography.","Transformation, mastery, balance.","ZIRACAH whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with air, balanced by a commensurate sacrifice.",,,,#### **55 · ZIRACAH** — *“He who crowns the unseen”*,Primary sources pending compilation.,air,"expressive, thin","analytical, whispering",3,2,100,33,73,67,52
MEMNIE,56,Fire,Unknown,Unnamed Governor,"ardent, transformative, catalytic","solar rites, inner furnace yoga","MEMNIE channels the archetypal potency of fire toward mastery of solar rites, inner furnace yoga.","Transformation, mastery, balance.","MEMNIE whispers, 'As above, so below—within the flame, a mirrored glow.'","Grants boon aligned with fire, balanced by a commensurate sacrifice.",,,,#### **56 · MEMNIE** — *“He who shatters bastions”*,Primary sources pending compilation.,fire,"reflective, dreamy","ardent, transformative",3,2,97,33,72,68,51
